type,K,T,r,price,sigma_080_1m,sigma_080_3m,sigma_080_6m,sigma_080_9m,sigma_080_12m,sigma_090_1m,sigma_090_3m,sigma_090_6m,sigma_090_9m,sigma_090_12m,sigma_100_1m,sigma_100_3m,sigma_100_6m,sigma_100_9m,sigma_100_12m,sigma_110_1m,sigma_110_3m,sigma_110_6m,sigma_110_9m,sigma_110_12m,sigma_120_1m,sigma_120_3m,sigma_120_6m,sigma_120_9m,sigma_120_12m
asian,95,1.0,0.02,10.025348840812455,0.5141070079706945,0.2932505253716088,0.2035657071763867,0.1631049547789927,0.1385561235844189,0.5445094629900237,0.30880715673243175,0.2124173289966496,0.16854531818263427,0.14168989250298886,0.6118114552448476,0.3441149568352981,0.23347302325531763,0.18238085395551185,0.15059922595986355,0.6969803592055208,0.38791002095176674,0.2582102829992881,0.19681988263877556,0.15729814502927186,0.7861620938601112,0.4321633620042579,0.28033513573608526,0.20496450274813666,0.15114855759195134
asian,90,0.75,0.02,12.942316826307144,0.5272167559278099,0.30075560023475933,0.2088045768661319,0.16732684431847894,0.14216397177193024,0.5275601425512669,0.29910195930605926,0.20564044675431725,0.16308256137548818,0.13702009604651927,0.5527074063894581,0.3100401840876579,0.20940745620691814,0.16272677387123483,0.13354214481799392,0.6201702728614917,0.3427223006078594,0.22507388306684942,0.16835321578340742,0.13072190196305347,0.7333382609200008,0.40006086422079906,0.2550531642090205,0.18022808886441216,0.11833626269482031
asian,80,1.0,0.02,21.52327921895784,0.5687855943571082,0.3245598469505637,0.22542833114012453,0.1807291344323869,0.1536219433632139,0.5391729082251138,0.30575115861438956,0.21028310128994965,0.16682456183050812,0.14021878842108268,0.5800724512118669,0.32581718783893576,0.2205512180917417,0.1718295681109918,0.14144483569153593,0.6412287063166325,0.35514384392507153,0.23423408970036796,0.176294213103944,0.13825784919135936,0.7387077257210947,0.40334508357985194,0.2576831671774836,0.18290677769575858,0.12264292621399941
asian,105,1.0,0.02,4.232632855121179,0.5516956633238517,0.3147720851732533,0.21859175756133478,0.17521627081507657,0.14890773965110074,0.5354041730273995,0.3035931327139584,0.20877616100617377,0.1656101929689564,0.1391803178534998,0.5640434274664446,0.3165759401790097,0.21402411012437297,0.16649830695683038,0.1368170663076236,0.6180631145952612,0.34147774866696273,0.22415346955230256,0.16755136481878216,0.12995393875808553,0.7135795332283633,0.38792607761469333,0.245225826206515,0.1698994986821296,0.09557545059246554
asian,95,1.0,0.02,9.040544766414325,0.496216064570089,0.2830100547173319,0.19641916449989802,0.15734746604587982,0.1336375876535504,0.506483967327332,0.28703751273300676,0.19722023306820738,0.15629846383556456,0.1312240737113515,0.5326283069672363,0.29846324337363245,0.20122889391104315,0.15604378863777257,0.127736723817651,0.6036295850445649,0.33294418502755463,0.21782812265920315,0.16201945404502646,0.12461359173657216,0.7194931310786324,0.3915663115854365,0.24819317824294831,0.17307830295482832,0.10435617140660565
asian,100,1.0,0.02,6.0696414631651,0.5064307698874648,0.2888565273842293,0.20049918242934514,0.16063404964887376,0.1364448812101386,0.5002865968588208,0.2834908507414647,0.1947457693790247,0.15430562571949533,0.12952216678266937,0.5304895284905821,0.29723006439609606,0.20035763312723884,0.1553317234827628,0.12711796620207,0.6058708230846968,0.3342703056492739,0.21881279475858775,0.16288319440102889,0.12545260231287425,0.716770221645392,0.3898911098348476,0.24682964653198514,0.1716248275585974,0.10069015853658066
asian,85,1.0,0.02,17.68169519935184,0.6120571108408965,0.34934903594848704,0.24275113183548622,0.19470424609530365,0.16557782388168427,0.6148805303234701,0.3491273325716434,0.24059939273874467,0.19128714173173925,0.1611507706614824,0.6531905967695791,0.36796894068247116,0.25031525467880467,0.19612812211344735,0.16251881060725237,0.7174436426655688,0.3999013637217515,0.26693116067702183,0.20421532056239652,0.16404990793779745,0.8113100795572991,0.4473100148800481,0.29199978888843403,0.2158257486852219,0.1630989894958729
asian,85,1.0,0.02,17.057502405912015,0.5798658534007072,0.3309064973600911,0.22986228709891765,0.18430547916952145,0.1566807446815678,0.6001561108284522,0.34068746481407125,0.23469711704106833,0.18652122336932184,0.1570699274616916,0.6240061096329452,0.3511450084137607,0.2384369952789286,0.18643320504435804,0.15411364784199688,0.6625303902614199,0.3676817944720227,0.24343722149129332,0.1842118067956536,0.14566528963986985,0.7225904808792398,0.3934702784517298,0.2497384473793108,0.17471132962386487,0.10802305344747586
asian,115,1.0,0.02,2.185356565488343,0.6199169408568848,0.3538527766995297,0.24589943815197657,0.19724504391019818,0.1677524214055078,0.5985191272749432,0.3397492982376629,0.23404106533294933,0.18599162093174623,0.1566165031537116,0.6311602044085536,0.3552691843717216,0.24134895926988692,0.18881016459612665,0.1561747433046646,0.681659468793085,0.3789207471743074,0.25165556818273166,0.19123943997406004,0.1521706887064883,0.7703762838131883,0.4226144814740961,0.2729044209511693,0.19789468310478503,0.14285115647066102
asian,105,1.0,0.02,4.67042958894357,0.5694884868675238,0.32496241968058964,0.22570957171287911,0.18095595181080093,0.15381591712215412,0.5695581583353333,0.32315456804383286,0.22244082661333517,0.1766297746461468,0.1486044463608872,0.6095766045253977,0.34282658111815967,0.2325632559745523,0.18163810757882315,0.14995499412509067,0.6836591872148187,0.38009463907178404,0.25251242666383067,0.19197010538391956,0.15284383201087118,0.7792485995277293,0.42798556145707656,0.27709208442416566,0.20189528338255486,0.1476093576524742
asian,100,1.0,0.02,6.369658768183852,0.5443834476144125,0.31058475919753875,0.2156675211906436,0.17285869096814127,0.14689225503889713,0.49862171135518296,0.28253812930426264,0.19408113459597576,0.15377042221857243,0.12906515058176174,0.5571282618490419,0.3125890357133951,0.211207930419458,0.16419772769716134,0.13481952306134667,0.6523553863458608,0.36169604621510304,0.23904848580875399,0.1804429813681297,0.14215097074772914,0.7634184492700619,0.41839441555502876,0.2695986972027341,0.19470355006200232,0.13891378265420037
asian,95,0.75,0.02,9.117976532811609,0.5483009942309325,0.31282810229287544,0.21723412283830798,0.17412168286923893,0.14797207561416842,0.49662162465699444,0.2813936290628984,0.19328274893109768,0.1531275538347288,0.12851622823700554,0.5261950182272446,0.2947539129977339,0.19860814462352697,0.15390182054762397,0.12587531349741915,0.6159582290800365,0.3402342263916738,0.2232333056326507,0.16674895160284192,0.12918399661784258,0.7558696786066215,0.4138080064555346,0.2659890545842111,0.19118199987040452,0.13438591276695613
