type,K,T,r,price,sigma_080_1m,sigma_080_3m,sigma_080_6m,sigma_080_9m,sigma_080_12m,sigma_090_1m,sigma_090_3m,sigma_090_6m,sigma_090_9m,sigma_090_12m,sigma_100_1m,sigma_100_3m,sigma_100_6m,sigma_100_9m,sigma_100_12m,sigma_110_1m,sigma_110_3m,sigma_110_6m,sigma_110_9m,sigma_110_12m,sigma_120_1m,sigma_120_3m,sigma_120_6m,sigma_120_9m,sigma_120_12m
lookback,90,0.0833333333333333,0.02,13.345817661710466,0.348082698596591,0.198308210752917,0.1374020682586756,0.1098789350009804,0.09315391333023,0.2112959061459427,0.1187863388499552,0.0805780089033828,0.0629837690516902,0.052097137758944,0.2849997850199657,0.1556136961045851,0.1000981027950956,0.0730155700444735,0.0549222786944821,0.6247460352687333,0.3454238295104694,0.2270700894267888,0.1700891919949363,0.1323802412866963,0.8842180354861336,0.4908665832174513,0.3249220177700432,0.245425986317675,0.1930367554675133
lookback,95,0.0833333333333333,0.02,8.416731544570354,0.3249549337927843,0.185099613459798,0.128215653417382,0.1025041813958447,0.0868767579641331,0.2108008507843557,0.1185059300464334,0.0803854914392912,0.0628313885042426,0.0519693786872278,0.2904447120990914,0.1587575592276832,0.1023325118621907,0.0748676206878608,0.0565821710455391,0.6313550978988302,0.3493233452351639,0.2299475056255895,0.1725862847116532,0.1347542054165653,0.8919899529790544,0.4954845350586778,0.3283709464517643,0.2484628616064405,0.1959780216723436
lookback,100,0.0833333333333333,0.02,4.07816013735006,0.2418862793738848,0.1376975618627599,0.0952908315529796,0.0761072388531003,0.0644389719352445,0.2145599555586102,0.1206353755167141,0.081847286374398,0.0639889574233548,0.0529398315997396,0.3472719639146273,0.1915571278476142,0.1256065014971106,0.0940784437042118,0.073624240720649,0.6993094668566503,0.3892757024227093,0.2592048185471451,0.1976648333267609,0.158071903835347,0.9713001892580668,0.5424042587566541,0.3630954462125786,0.278603628601936,0.2244390388132083
lookback,105,0.0833333333333333,0.02,1.1050770977167348,0.3368428566991437,0.1918883870589993,0.1329365558337102,0.1062935403905445,0.090101521057311,0.2383666430480172,0.1341330048052267,0.0911263827899929,0.0713454651462177,0.0591182706785483,0.3556221010102847,0.1963753145384706,0.1290208727019018,0.0968876100982191,0.0760977325633619,0.7091593451352438,0.3950487802154888,0.2634053204728478,0.20122909191474,0.1613287965766205,0.9827131438276206,0.5491301758336047,0.3680341777842824,0.2828392408233865,0.2283591894607288
lookback,95,0.0833333333333333,0.02,9.209136185155456,0.2470744434855038,0.1406563070110907,0.0973438524105941,0.0777516801945825,0.0658352671263145,0.2124714143437345,0.11945220370303,0.0810352141919344,0.0633456762556036,0.0524005945794688,0.3593953560073325,0.1985524576506927,0.130563394730865,0.0981561428581516,0.077213592505991,0.7136004621927269,0.3976505002775263,0.2652959676385054,0.2028309572056213,0.1627895273328345,0.9878527336997794,0.5521572435874552,0.3702542568646981,0.2847399258778811,0.2301134917962205
lookback,100,0.0833333333333333,0.02,3.242620774789071,0.3449537949535246,0.196520934412885,0.1361587554976098,0.108880571951416,0.0923039526208667,0.2065031884107291,0.1160721852612971,0.0787149811131663,0.061509402466288,0.0508613599198676,0.2745735840619744,0.1495929890595114,0.0958167331689726,0.069461601181112,0.0517245632063946,0.612034567427781,0.3379153583349188,0.2215160235745442,0.1652493768846605,0.1277410012927457,0.8692379938996977,0.4819535576564981,0.3182458165852959,0.2395183983551924,0.1872619844704776
lookback,80,0.0833333333333333,0.02,23.974822970067702,0.2887314088060299,0.1644216307624396,0.1138446714922599,0.0909755862101585,0.0770711480636495,0.2131557684886714,0.1198398775823396,0.0813014356383559,0.0635564219837126,0.0525773207761028,0.3411775245572133,0.1880403261769901,0.1231137467890003,0.0920263521259557,0.0718150748952057,0.6921007947346679,0.3850481295114638,0.2561251455278491,0.1950468518762069,0.1556723517839925,0.9629351151793212,0.537470862292938,0.3594675368813959,0.2754853664586884,0.2215429221205549
lookback,90,0.0833333333333333,0.02,13.519966405421968,0.3212415125485714,0.1829792710093548,0.1267414161394049,0.1013210964810403,0.0858700536335892,0.2218522001133243,0.12476820094178,0.0846861356338837,0.0662377349968786,0.0548269656296118,0.3001505606657004,0.1643605891504708,0.1063131988837771,0.0781630319777478,0.059526300225072,0.6430890889356302,0.3562398745857083,0.2350402167039435,0.1769900022509469,0.1389126575447561,0.9057614269076344,0.5036574731752193,0.3344593209467411,0.253802132127888,0.2011094792212793
lookback,90,0.0833333333333333,0.02,14.02251252177519,0.3419802532024345,0.1948225533176438,0.1349773652130526,0.1079320012231524,0.091496390841054,0.2441414073475257,0.1374097756823626,0.0933819469654019,0.0731364899065242,0.0606244967043155,0.3438784433011409,0.1895989147668277,0.1242185595489769,0.0929359875260164,0.072617278696409,0.6952976083543075,0.3869231923287373,0.2574914630058155,0.1962088780130379,0.1567382131213531,0.9666460740433132,0.5396598346644257,0.3610778384580741,0.2768701946140198,0.2228301956254573
lookback,95,0.0833333333333333,0.02,8.837137701619874,0.355494663984874,0.2025422476137076,0.1403478166674179,0.112244626586215,0.0951685893559977,0.2106021510176831,0.1183933851262874,0.0803082260610708,0.0627702333268708,0.0519181066325535,0.3270226786272242,0.1798715681041085,0.1173214735324614,0.0872537140345447,0.0675989071136164,0.6752903390400421,0.3751806493229741,0.248923682409607,0.188907402304772,0.1500183640329733,0.9433855647073298,0.5259283997059181,0.350960274906497,0.2681484084574789,0.2146912589953506
