type,K,T,r,price,sigma_080_1m,sigma_080_3m,sigma_080_6m,sigma_080_9m,sigma_080_12m,sigma_090_1m,sigma_090_3m,sigma_090_6m,sigma_090_9m,sigma_090_12m,sigma_100_1m,sigma_100_3m,sigma_100_6m,sigma_100_9m,sigma_100_12m,sigma_110_1m,sigma_110_3m,sigma_110_6m,sigma_110_9m,sigma_110_12m,sigma_120_1m,sigma_120_3m,sigma_120_6m,sigma_120_9m,sigma_120_12m
asian,120,1.0,0.02,1.2321098972470081,0.569210627724659,0.3248032760144986,0.22559839245294558,0.18086628668402588,0.15373923519668975,0.5818892027099601,0.33021955437056155,0.2273786023424498,0.1806140338949358,0.15201358726807443,0.6059389658485269,0.34072949795983426,0.23108240777474623,0.18042908496769797,0.14890627504671383,0.6579678042350645,0.3649984047861431,0.24147083500845096,0.18252464344594424,0.14409430218568806,0.7473489294420224,0.40861947672437926,0.2618835201023021,0.1871239645200501,0.12886195844513004
asian,80,1.0,0.02,21.289036414163423,0.4459303793267486,0.254238768469725,0.17635262773502106,0.1411913645168665,0.1198446521122932,0.44780137104287204,0.25347162748678015,0.1738209381507255,0.1374689619835057,0.1151577781399437,0.5281576180380169,0.2958855222423755,0.19940767453348718,0.1545553105165497,0.126443247231649,0.6200125080476397,0.3426291306378145,0.22500499637623153,0.16829322926482843,0.1306644995249061,0.7147264426525544,0.38863267513555083,0.24580334039250099,0.17052256039326824,0.09754539997362309
asian,80,1.0,0.02,21.34769421980273,0.5925707793865871,0.33818457012982067,0.23494805053532986,0.18840803712459528,0.16019029035939286,0.5857140183015106,0.33241118984055607,0.22891062176842167,0.1818504299746543,0.15307189640020571,0.6089232723266754,0.34244993881744334,0.23229729350599984,0.18142096886438533,0.14976665081492865,0.6531585153570841,0.36216871481657176,0.23939536319351643,0.1807413013871855,0.14242992774257954,0.7261092738901982,0.3956305551507351,0.251486213685794,0.17654198782099081,0.11173169478050592
asian,90,0.75,0.02,12.537790492245882,0.5247396875275389,0.29933744571283744,0.20781454985671058,0.16652902023597543,0.14148174023992124,0.4234207365311401,0.2395383813556021,0.1641215917068386,0.12967510678747116,0.10851814332566613,0.4535657596627473,0.25287263826159423,0.16900613491702493,0.12968811213169573,0.10480217106998661,0.5708922748886797,0.313525560252725,0.20332655521123624,0.14916465976989385,0.11183295009753866,0.7109231799323885,0.386288344194205,0.24388474679316893,0.16844338501591252,0.09013829690709488
asian,105,1.0,0.02,4.960556954881933,0.6286192726232073,0.3588398119443771,0.24938605064501368,0.200059316819933,0.1701611246358348,0.6107133658051883,0.3467386801054647,0.2389291353132237,0.1899380125908574,0.15999557521293759,0.6196409164288198,0.3486285497020005,0.23666014203018815,0.1849827242498263,0.1528557955502292,0.6616023787541638,0.36713609255769486,0.243037468802295,0.18386900624240046,0.1453464049763691,0.7311170068915204,0.39870064673473715,0.2539604263959147,0.17910562464517127,0.11642214899517303
asian,100,1.0,0.02,6.970078003041548,0.5703937104535783,0.3254808904644216,0.2260717822552415,0.1812480742253463,0.15406574529614048,0.5575169147453755,0.31625674019389244,0.21762121515201122,0.17274193058847073,0.14527850236020567,0.6104646278397857,0.34333852087096184,0.2329247559359717,0.18193324317273687,0.1502109873557509,0.6746514478965967,0.37480537206036424,0.248649406841173,0.18867305607874804,0.1498017401871734,0.7538025780135851,0.4125503554854592,0.26499619014794823,0.1902060407182125,0.1330907096009318
asian,80,0.75,0.02,21.796983824305816,0.5856692860974811,0.3342308943368937,0.23218531233551754,0.18617920357608497,0.15828359768948863,0.5391130586571331,0.3057168869817858,0.2102591684647217,0.16680526679206267,0.14020229407955123,0.557687732170938,0.31291159761932713,0.21143577962053053,0.16438386950926986,0.1349811586604068,0.6325924694543341,0.3500531106502281,0.2304854850372801,0.17305241263431137,0.13519601509914445,0.7514637965882877,0.41112655247763163,0.26387045136064924,0.18909543581799143,0.13159240773459407
asian,105,1.0,0.02,2.7952457834117967,0.4557418349010529,0.259851269940888,0.18026560639589043,0.14434058406494846,0.12253202818325588,0.4059296401142117,0.22954745631132342,0.15717206949504756,0.12409584681750063,0.10376948164812584,0.453970435833655,0.25310601862135745,0.16917116028360996,0.1298232194746341,0.10491994920292863,0.581480989465233,0.31981672063438993,0.20804326144756213,0.15337596577676932,0.11608896523177245,0.7186762618822106,0.3910639196207461,0.24778464812443562,0.1726437575779623,0.10330736456578012
asian,105,0.75,0.02,4.230144309406665,0.5901085300134499,0.33677398230788436,0.23396232298066336,0.18761278555790184,0.15950987261067198,0.5447759044940749,0.30895974210309785,0.21252389776869315,0.16863124657791506,0.14176336014874794,0.5586401262327052,0.31346069836725127,0.2118236477459766,0.16470073563036322,0.13525630306201814,0.629261605239573,0.34808844060740324,0.22903678003372088,0.1717966682163816,0.13400484442411884,0.7419394849624356,0.40531922598957415,0.259258332676292,0.18449695153212886,0.1250571217034839
asian,90,1.0,0.02,12.671829076972951,0.3744889590797091,0.21339506270175593,0.14790045797538057,0.11831185070041197,0.10033638999165448,0.406808559097002,0.23004939297166446,0.15752103279448526,0.12437594378054287,0.10400779444629353,0.5010706765459972,0.28026706548580255,0.1883713150950226,0.1455327316697777,0.11859867232633074,0.5966849506298486,0.32883257234143787,0.2147709004080495,0.15933108342792465,0.12198825459186306,0.70841906928928,0.384742974126952,0.24261584636095354,0.16705368133406093,0.0828101378850181
