K,T,barrier,type,price,vol_mean,vol_T,vol_std
98.28005034704097,1.0204261412329811,,asian,5.486262240562934,0.04031963289316597,0.03959784806397387,0.017073642292930732
98.28005034704097,1.0204261412329811,148.48081558631785,barrier,7.999827953246682,0.04031963289316597,0.03959784806397387,0.017073642292930732
98.28005034704097,1.0204261412329811,,lookback,15.300746225206973,0.04031963289316597,0.03959784806397387,0.017073642292930732
88.54433206663045,1.217872026023815,,asian,12.504495014940726,0.0399504770422035,0.039312459383907615,0.01800824368484081
88.54433206663045,1.217872026023815,116.09599954956789,barrier,3.5489232918223608,0.0399504770422035,0.039312459383907615,0.01800824368484081
88.54433206663045,1.217872026023815,,lookback,16.500620794042334,0.0399504770422035,0.039312459383907615,0.01800824368484081
94.67499895102378,0.30839806971246375,,asian,6.016842923994334,0.04015000407766892,0.04024679275680949,0.011203691753104011
94.67499895102378,0.30839806971246375,132.1164196876631,barrier,7.3405531668408655,0.04015000407766892,0.04024679275680949,0.011203691753104011
94.67499895102378,0.30839806971246375,,lookback,8.372914846140649,0.04015000407766892,0.04024679275680949,0.011203691753104011
92.49923277829757,0.2801505526177853,,asian,7.963642984933242,0.04030244247837952,0.04012833402706943,0.010661471705260713
92.49923277829757,0.2801505526177853,144.77830983585494,barrier,9.186348744457256,0.04030244247837952,0.04012833402706943,0.010661471705260713
92.49923277829757,0.2801505526177853,,lookback,8.31477795359238,0.04030244247837952,0.04012833402706943,0.010661471705260713
83.54168962275455,0.556736045801078,,asian,16.702338132511382,0.03931715579808997,0.03863051403841262,0.013360348840726803
83.54168962275455,0.556736045801078,129.45354155075015,barrier,16.129950854155744,0.03931715579808997,0.03863051403841262,0.013360348840726803
83.54168962275455,0.556736045801078,,lookback,11.47792912620858,0.03931715579808997,0.03863051403841262,0.013360348840726803
89.54246703364039,0.5157370597744266,,asian,10.822111036789119,0.040416083768503835,0.04021449106051359,0.01346416230794304
89.54246703364039,0.5157370597744266,122.42002623216607,barrier,9.590201473582539,0.040416083768503835,0.04021449106051359,0.01346416230794304
89.54246703364039,0.5157370597744266,,lookback,10.834586713545033,0.040416083768503835,0.04021449106051359,0.01346416230794304
112.70504645213953,0.5365362193991903,,asian,0.2400928285630471,0.040242293836289474,0.0407203803613131,0.013755985799194579
112.70504645213953,0.5365362193991903,135.68472041872718,barrier,1.1204546902640058,0.040242293836289474,0.0407203803613131,0.013755985799194579
112.70504645213953,0.5365362193991903,,lookback,11.123275705853247,0.040242293836289474,0.0407203803613131,0.013755985799194579
99.94350297423799,0.7877183425157089,,asian,3.9177654435258393,0.040352056916128975,0.04099676229552216,0.015779401992033006
99.94350297423799,0.7877183425157089,146.49883875358213,barrier,6.400641872015356,0.040352056916128975,0.04099676229552216,0.015779401992033006
99.94350297423799,0.7877183425157089,,lookback,13.383818387064785,0.040352056916128975,0.04099676229552216,0.015779401992033006
93.22803747730852,0.8515013525838292,,asian,8.5946717792888,0.03951760764844992,0.039351783228245056,0.015762667664380493
93.22803747730852,0.8515013525838292,149.16410985563493,barrier,10.770264891874913,0.03951760764844992,0.039351783228245056,0.015762667664380493
93.22803747730852,0.8515013525838292,,lookback,14.101716240283348,0.03951760764844992,0.039351783228245056,0.015762667664380493
113.175281431772,0.9829763658852444,,asian,0.703065606293167,0.03947574264643226,0.03949295698606039,0.016570441040089055
113.175281431772,0.9829763658852444,133.6119363080112,barrier,1.4471591076925954,0.03947574264643226,0.03949295698606039,0.016570441040089055
113.175281431772,0.9829763658852444,,lookback,14.87623326112717,0.03947574264643226,0.03949295698606039,0.016570441040089055
95.06327335620928,1.1595340009570105,,asian,8.044985469503072,0.039731863586868456,0.03887344324426133,0.01771758165643664
95.06327335620928,1.1595340009570105,141.37316760377888,barrier,9.342388563035685,0.039731863586868456,0.03887344324426133,0.01771758165643664
95.06327335620928,1.1595340009570105,,lookback,16.548655606267296,0.039731863586868456,0.03887344324426133,0.01771758165643664
105.03178078822046,1.2672266921289879,,asian,2.8542334179656454,0.03978287320661773,0.03972486857282479,0.01829110824650518
105.03178078822046,1.2672266921289879,122.70412295781408,barrier,1.214209002599077,0.03978287320661773,0.03972486857282479,0.01829110824650518
105.03178078822046,1.2672266921289879,,lookback,16.82293700418197,0.03978287320661773,0.03972486857282479,0.01829110824650518
115.72269683896687,0.6783031666761277,,asian,0.26899760723985716,0.03967785690866431,0.039267865768594666,0.014750871995917127
115.72269683896687,0.6783031666761277,126.16102238173254,barrier,0.34839428415332596,0.03967785690866431,0.039267865768594666,0.014750871995917127
115.72269683896687,0.6783031666761277,,lookback,12.849428047493857,0.03967785690866431,0.039267865768594666,0.014750871995917127
81.44338528922593,0.9354337201691816,,asian,18.65474713300096,0.04088785723051082,0.04308650461042365,0.01685216658665344
81.44338528922593,0.9354337201691816,124.36753068038118,barrier,13.9565656661316,0.04088785723051082,0.04308650461042365,0.01685216658665344
81.44338528922593,0.9354337201691816,,lookback,14.294810233282213,0.04088785723051082,0.04308650461042365,0.01685216658665344
100.67550391090646,0.2991893526044308,,asian,2.2013532692397813,0.03986934860067987,0.03960509979969205,0.010721528515187703
100.67550391090646,0.2991893526044308,132.2209191648982,barrier,3.9591974362462863,0.03986934860067987,0.03960509979969205,0.010721528515187703
100.67550391090646,0.2991893526044308,,lookback,8.321943009911454,0.03986934860067987,0.03960509979969205,0.010721528515187703
95.01616877706915,1.1015167029878414,,asian,7.872503133745027,0.03940017267181548,0.04018680352060153,0.017185008315427155
